date,window
1474958837,Finder
1474958840,Safari
1474958841,Safari
1474958843,Safari
1474958852,Safari
1474958854,WhatsApp
1474958855,Safari
1474958882,Safari
1474958915,Safari
1474958920,WhatsApp
1474958949,WhatsApp
1474958952,Safari
1474958953,Safari
1474958955,Safari
1474958961,Finder
1474958963,loginwindow
1474962282,__LOCKEDSCREEN
1474962358,Finder
1474962361,Slack
1474962362,Finder
1474962365,Finder
1474962368,Finder
1474962380,Finder
1474962383,Finder
1474962386,Slack
1474962390,Finder
1474962394,Safari
1474962405,Safari
1474962426,Slack
1474962429,Slack
1474962430,Finder
1474962448,Slack
1474962460,Mail
1474962488,Slack
1474962490,Mail
1474962532,Slack
1474962542,Mail
1474962544,Slack
1474962556,Mail
1474962581,Slack
1474962582,Mail
1474962596,Slack
1474962598,Mail
1474962600,System,Preferences
1474962602,System,Preferences
1474962606,System,Preferences
1474962608,Slack
1474962612,Finder
1474962616,Slack
1474962622,Finder
1474962635,Finder
1474962637,Finder
1474962638,Finder
1474962640,Finder
1474962643,Finder
1474962646,Mail
1474962650,Mail
1474962652,Atom
1474962654,Mail
1474962660,Safari
1474962663,Spotify
1474962664,Atom
1474962666,Terminal
1474962670,Terminal
1474962672,Terminal
1474962674,Terminal
1474962684,Terminal
1474962686,Terminal
1474962688,Terminal
1474962692,Terminal
1474962694,Terminal
1474962708,Terminal
1474962710,Terminal
1474962722,Spotify
1474962724,Safari
1474962726,Safari
1474962728,Safari
1474962739,Safari
1474962750,Safari
1474962936,Safari
1474962938,Safari
1474962941,Safari
1474962942,Safari
1474962950,Safari
1474962954,Safari
1474962966,Safari
1474962966,Safari
1474962971,Safari
1474962974,Safari
1474962983,Safari
1474962985,Safari
1474962988,Safari
1474962990,Safari
1474963004,Safari
1474963028,Safari
1474963041,Safari
1474963043,Safari
1474963061,Safari
1474963076,Safari
1474963081,Safari
1474963092,Safari
1474963101,Safari
1474963112,Safari
1474963126,Safari
1474963141,Safari
1474963144,Safari
1474963146,Safari
1474963150,Safari
1474963159,Safari
1474963162,Safari
1474963164,Safari
1474963188,Safari
1474963191,Safari
1474963195,Safari
1474963196,Safari
1474963210,Safari
1474963212,Safari
1474963214,Safari
1474963224,Safari
1474963226,Safari
1474963432,Spotify
1474963434,Finder
1474963436,Safari
1474963446,Terminal
1474963448,Terminal
1474963450,Terminal
1474963464,Safari
1474963466,Safari
1474963468,Safari
1474963472,Safari
1474963476,Safari
1474963485,Safari
1474963492,Safari
1474963496,Safari
1474963498,Safari
