date,keystrokes
1474952492,0
1474952501,0
1474952510,0
1474952520,0
1474952529,0
1474952538,0
1474958828,0
1474958837,0
1474958846,19
1474958856,2
1474958865,0
1474958874,6
1474958883,11
1474958892,0
1474958901,0
1474958910,0
1474958919,0
1474958928,0
1474958938,0
1474958947,0
1474958956,0
1474958965,1
1474958974,0
1474960970,0
1474960979,0
1474960988,0
1474960997,0
1474962250,0
1474962259,0
1474962268,0
1474962277,0
1474962286,0
1474962295,0
1474962304,1
1474962313,0
1474962322,0
1474962331,0
1474962340,0
1474962350,0
1474962359,0
1474962368,0
1474962377,0
1474962386,0
1474962395,0
1474962404,10
1474962413,0
1474962422,0
1474962431,0
1474962440,2
1474962449,0
1474962458,0
1474962467,0
1474962476,0
1474962485,0
1474962495,0
1474962504,0
1474962513,0
1474962522,0
1474962531,0
1474962540,0
1474962549,0
1474962558,0
1474962567,0
1474962576,0
1474962585,1
1474962594,0
1474962603,6
1474962612,3
1474962622,1
1474962631,0
1474962640,0
1474962649,1
1474962658,4
1474962667,2
1474962676,0
1474962685,35
1474962694,34
1474962703,40
1474962712,16
1474962721,1
1474962730,1
1474962740,0
1474962749,0
1474962758,0
1474962767,0
1474962776,0
1474962785,0
1474962794,0
1474962803,0
1474962812,0
1474962821,0
1474962830,0
1474962839,0
1474962848,0
1474962857,0
1474962866,0
1474962875,0
1474962885,0
1474962894,0
1474962903,0
1474962912,0
1474962921,0
1474962930,0
1474962939,17
1474962948,0
1474962957,0
1474962966,1
1474962975,0
1474962984,0
1474962994,10
1474963003,23
1474963012,10
1474963021,0
1474963030,0
1474963039,0
1474963048,0
1474963057,0
1474963067,0
1474963076,0
1474963085,0
1474963094,0
1474963103,0
1474963112,0
1474963121,0
1474963130,1
1474963139,0
1474963148,0
1474963157,6
1474963166,0
1474963176,0
1474963185,0
1474963194,0
1474963203,0
1474963212,0
1474963221,0
1474963230,2
1474963239,0
1474963248,0
1474963257,0
1474963266,0
1474963275,0
1474963284,0
1474963294,0
1474963303,0
1474963312,0
1474963321,0
1474963330,0
1474963339,0
1474963348,0
1474963357,0
1474963366,0
1474963375,0
1474963384,0
1474963393,0
1474963402,0
1474963411,0
1474963420,0
1474963427,0
1474963436,1
1474963445,4
1474963454,12
1474963464,1
1474963473,7
1474963482,0
1474963491,0
1474963500,12
1474963509,2
1474963518,11
1474963527,8
1474963536,7
1474963545,1
1474963554,19
1474963564,2
1474963573,5
1474963582,0
1474963591,0
1474963600,1
1474963609,8
1474963618,5
1474963627,0
1474963636,0
1474963645,0
1474963654,0
1474963663,2
1474963672,2
1474963681,1
1474963691,0
1474963700,0
1474963709,0
1474963718,0
1474963727,0
1474963736,0
1474963745,0
1474963754,0
1474963763,0
1474963772,0
1474963781,0
1474963790,0
1474963799,0
1474963808,0
1474963817,0
1474963827,0
1474963836,0
1474963845,0
1474963854,0
1474963863,0
1474963872,0
1474963881,0
1474963890,0
1474963899,1
1474963908,2
1474963917,3
1474963926,1
1474963935,14
1474963944,15
1474963954,0
1474963963,0
1474963972,0
1474963981,1
1474963990,16
1474963999,19
1474964008,0
1474964017,19
1474964026,1
1474964035,2
1474964044,0
1474964053,36
1474964062,5
1474964072,0
1474964081,0
1474964090,0
1474964099,0
1474964108,0
1474964117,0
1474964126,0
1474964135,0
1474964144,0
1474964154,0
1474964163,4
1474964172,0
1474964181,14
1474964190,48
1474964199,56
1474964208,20
1474964217,10
1474964226,23
1474964235,56
1474964244,6
1474964254,16
1474964263,27
1474964272,18
1474964281,28
1474964290,32
1474964299,43
